Q,A
어디 보자.,"아, 아직 안 끝났어. ""그가 살롱에 살며시 들어갔을 때, 그의 스퍼는 짤랑거리고 그의 주머니는 금으로 가득 찼을 때, 아가씨들은 설탕에 절인 사과로 파리처럼 그의 주위에 몰려들었다."" 내가 말했던 것처럼. 음."
"아, 아직 안 끝났어. ""그가 살롱에 살며시 들어갔을 때, 그의 스퍼는 짤랑거리고 그의 주머니는 금으로 가득 찼을 때, 아가씨들은 설탕에 절인 사과로 파리처럼 그의 주위에 몰려들었다."" 내가 말했던 것처럼. 음.","자, 얘야, 너희들 모두 그 바보 같은 10센트짜리 소설들 중 하나를 믿지 않겠지, 그렇지?"
"자, 얘야, 너희들 모두 그 바보 같은 10센트짜리 소설들 중 하나를 믿지 않겠지, 그렇지?","제시, 네가 곤경에서 벗어나려고 애쓸 때 네 말투가 모든 농장 남자애들을 사로잡는다는 걸 눈치챈 적 있어?"
"제시, 네가 곤경에서 벗어나려고 애쓸 때 네 말투가 모든 농장 남자애들을 사로잡는다는 걸 눈치챈 적 있어?","오, 이런, 부인..."
"오, 이런, 부인...",하지마 이건 그냥 슬프다.
하지마 이건 그냥 슬프다.,수영. 수영은 좋다.
돌아보지 마.,뭐?
뭐?,안 보면 진짜가 아니라...
또 체포되면 죽여버릴 거야,"네, 부인."
"네, 부인.",내가 너를 위해 기차를 폭파해야 했다니 믿을 수가 없어.
내가 너를 위해 기차를 폭파해야 했다니 믿을 수가 없어.,넌 정말 대단한 여자야.
넌 정말 대단한 여자야.,욕하지 마.
욕하지 마.,"네, 부인."
테네시?,내가 가는 길에 설명해줄게.
내일 이사 갈 거야,하지만 난 대통령 전용 스위트룸이 좋아.
하지만 난 대통령 전용 스위트룸이 좋아.,"아, 비슷한 방이다. 하지만 그 호텔은 워싱턴 D.C.에 있다. 제시 제임스 동조자들의 배심원들 앞에서 공정한 재판을 받지 못할 거야"
"아, 비슷한 방이다. 하지만 그 호텔은 워싱턴 D.C.에 있다. 제시 제임스 동조자들의 배심원들 앞에서 공정한 재판을 받지 못할 거야",그럼 태드데우스 레인즈가 매수했던 배심원들 앞에서 공정한 재판을 받게 되는 겁니까?
그럼 태드데우스 레인즈가 매수했던 배심원들 앞에서 공정한 재판을 받게 되는 겁니까?,그런 생각이야.
우리 집 불태우라고 명령하셨나요?,"그날은 아니다. 여러 가지 죄는 있지만, 그날은 타드데우스 레인즈 씨와 파커였습니다."
넌 내 경력을 시작하기도 전에 거의 끝장낼 뻔했어.,불쌍하다.
토렐에서 매복한 자들은 어떻게 발견하셨습니까?,지난 2월?
지난 2월?,음.
음.,그 소들이 다 거기 있었으니 소몰이에서 여분의 부하들이 시내에 있었던 것 같소?
그 소들이 다 거기 있었으니 소몰이에서 여분의 부하들이 시내에 있었던 것 같소?,네?
네?,그 소들은 마을에서 5마일 밖에 떨어지지 않은 농장에서 온 상표를 가지고 있었다.
그 소들은 마을에서 5마일 밖에 떨어지지 않은 농장에서 온 상표를 가지고 있었다.,젠장
빌링스에 들어갈 뻔했어 거기서 날 쏘는 널 봤어,내가 직접 가서 작전을 감독했다. 별로 도움이 되지 않았다.
내가 직접 가서 작전을 감독했다. 별로 도움이 되지 않았다.,"아니, 그건 가까웠어. 그 후 몇 명이 그만두었다."
"오, 그거 반가운 소식이야 널 교수형에 처할 거야",나는 생각했다.
나는 생각했다.,그럴 만한 가치가 있었을까?
그럴 만한 가치가 있었을까?,태드데우스 레인즈를 죽여서 처리했어야 했어
태드데우스 레인즈를 죽여서 처리했어야 했어,나도 그랬을 거야
나도 그랬을 거야,난 아직 교수형 당하지 않았어.
난 아직 교수형 당하지 않았어.,이 건방진 놈아.
이 건방진 놈아.,"아, 내가 그리울 거야."
"아, 내가 그리울 거야.","아니, 널 교수형에 처할 거야. 하지만 네가 조금 보고 싶을 수도 있어."
그건 우리 엄마를 위한 거였어. 이제 이건 다른 모든 사람들을 위한 거야.,"그는 너무 중요해, 제임스 그들은 너에게 군대를 보낼 것이다. 당신과 당신 아내."
그 철도는 테네시 주에서 영업을 하지 않는다. 그러므로 나는 테네시 주에 관심이 없다.,고마워
고마워,"제시 제임스, 널 죽이면 좋겠다. 하지만 널 쫓는 건 내 시간을 너무 많이 뺏어."
"제시 제임스, 널 죽이면 좋겠다. 하지만 널 쫓는 건 내 시간을 너무 많이 뺏어.",그럴 만도 하다.
이건 보통 일이 아니다 우리 결혼의 대부분은 신도들의 일원이다.,하느님이 신경쓸 것 같지 않지?
"주님은 자선에 대해 놀라울 정도로 관대하십니다. ""제스 우드슨 제임스."" 제시 제임스? 제시 제임스?",거짓말 할 수도 있었지만 난 이 결혼이 합법적이길 원해 난 단지 네가 알았으면 해 난 여기서 새로운 삶을 시작하려고 노력하고 있어 난 네...
거짓말 할 수도 있었지만 난 이 결혼이 합법적이길 원해 난 단지 네가 알았으면 해 난 여기서 새로운 삶을 시작하려고 노력하고 있어 난 네...,"재량? 선생님, 전 천을 잘 아는 사람입니다만"
"재량? 선생님, 전 천을 잘 아는 사람입니다만",고마워
고마워,물이 새는 교회 지붕을 수리해야 하는 사람.
"자, 이제 한잔 합시다.",여기 교회에서?
여기 교회에서?,성찬식.
그리고 넌 너무 어리다.,난 네가 전쟁에 나갔을 때와 같은 또래야.
난 네가 전쟁에 나갔을 때와 같은 또래야.,그리고 웹과 같은 나이였다. 아뇨
나는 그것이 좋다.,아뇨
"괜찮아, 제시?","그래, 위스키 마시고 있어? 너는 위스키를 마시기에는 너무 어리다."
"그래, 위스키 마시고 있어? 너는 위스키를 마시기에는 너무 어리다.","사람을 쏘기에는 너무 어리지도 않고, 술을 마시기에는 어리지도 않는다."
"사람을 쏘기에는 너무 어리지도 않고, 술을 마시기에는 어리지도 않는다.",그런가 보다.
그런가 보다.,난 항상 웹 밈스가 너랑 콜이랑 싸워서 질투가 났어 이제 내 차례야.
"짐, 아직 여자랑 같이 있었어?","오늘밤? 왜, 나는 이제 막 Younger의 매력을 켤 준비를 하고 있어."
"글쎄, 꼭 그렇진 않아.",여자랑 같이 있었어?
여자랑 같이 있었어?,"그래! 난 같이 있었어... 어, 꼭 그렇진 않아. 그냥, 난 이 유급 여성들 중 한 명을 데려오고 싶지 않아, 알지?"
"그래! 난 같이 있었어... 어, 꼭 그렇진 않아. 그냥, 난 이 유급 여성들 중 한 명을 데려오고 싶지 않아, 알지?",그런 것 같아.
나는 그렇게 생각한다.,"너, 프랭크, 콜, 심지어 밥까지 이 여자애들을 데려와. 네가 잘생기고 유명하니까. 계산은 안 해도 돼. 그들은 나를 남동생처럼 쳐다만 봐. 아무한테도 말하지 마, 알았지 제시?"
"너, 프랭크, 콜, 심지어 밥까지 이 여자애들을 데려와. 네가 잘생기고 유명하니까. 계산은 안 해도 돼. 그들은 나를 남동생처럼 쳐다만 봐. 아무한테도 말하지 마, 알았지 제시?",맹세코
맹세코,다른 걸 말해줘 나도 그렇게 좋은 술은 못 마셔. 밖에 나가서 토할 거야.
다른 걸 말해줘 나도 그렇게 좋은 술은 못 마셔. 밖에 나가서 토할 거야.,네가 그렇게 해.
그 록아일랜드의 서자는 어쩌고?,"그의 돈이다. 그는 자기 재산으로 급료를 올리고 있다. 넌 타데우스 비를 다치게 하고 싶지, 안 그래, 제시?"
위스키를 마시기에는 너무 어린데...,이번에는 예외로 합시다.
이번에는 예외로 합시다.,"제시, 라일라한테 설명해봐 내 딸, 그 때부터..."
"제시, 라일라한테 설명해봐 내 딸, 그 때부터...","침대에서 같이 쉬면 말해, 지미"
"왜, 그래.","신경 쓰지 않았으면 좋겠는데, 제시 제임스가 네 이름을 말해줬어."
"신경 쓰지 않았으면 좋겠는데, 제시 제임스가 네 이름을 말해줬어.","오, 제시랑 얘기하고 있었구나."
"오, 제시랑 얘기하고 있었구나.","그래, 하지만 네가 누군지 알아내기 위해서야"
정말?,내가 너무 서두르지 않았으면 좋겠어.
내가 너무 서두르지 않았으면 좋겠어.,전혀 아니다.
전혀 아니다.,난 단지 네가 너무 귀여웠다고 생각해.
난 단지 네가 너무 귀여웠다고 생각해.,"감사합니다, 아가씨 -- ?"
"감사합니다, 아가씨 -- ?",라일라 드베룩스.
라일라 드베룩스.,"아이고, 예쁜 이름이네. 당신에게 술 한 잔을 살까요?"
"아이고, 예쁜 이름이네. 당신에게 술 한 잔을 살까요?",위층으로 올라가서 얘기 좀 할까? 여기 아래가 너무 시끄러워.
위층으로 올라가서 얘기 좀 할까? 여기 아래가 너무 시끄러워.,우리 이야기하면서 셰리 한 병 마시게 하는 게 어때?
우리 이야기하면서 셰리 한 병 마시게 하는 게 어때?,그것은 너의 매우 신사적이다.
데브룩스. 내 남동생 콜은 유럽 소녀와 데이트를 한 적이 있다.,정말?
정말?,그래도 그 얘기는 많이 하지 마.
"음, 이 땅은 곧 비난 받을 거야.",당신들 부탁을 들어주는 겁니다.
"진정해, 앨런 육군은 이 모든 것을 손에 쥐고 있다. 그리고 타드데우스 레인즈 씨는 이 소식에 매우 기뻐할 것이다. 대중들이 이주하도록 동기를 부여하기 위한 교수형만큼 좋은 것은 없다.",긴장을 푸는 것은 내 일이 아니다. 메인 스트리트에서 양방향으로 사람을 배치해서 아무도 총을 쏘지 못하게 했어 혹시나 해서 급수탑에 급사포를 올려 놓았다.
내 전문적 소견으로는 이번에는 네가 그럭저럭 엉뚱한 농장의 사내아이들을 화나게 했다는 것이다.,그들은 처리되어야만 했다!
그들은 처리되어야만 했다!,집을 불태워서?
어떻게 그럴 수가 있지?,그들은 농부들과 교회에 돈을 기부한다. 소문에 의하면 그들은 매독스의 소작인들에게 너무 많은 돈을 주어서 학교를 지을 수 있었다고 한다.
4명뿐인데...,이 바보들아!
"타드데우스 레인스 씨, 들판에 합류하게 되어 영광입니다.",그리고 여기에 오게 되어 기쁘다.
그리고 여기에 오게 되어 기쁘다.,정말!
정말!,"아니! 내가 이사실을 떠나 이 지긋지긋한 흙덩이에 와서 왜 성스러운 모든 것의 이름으로, 이 나라에서 본 가장 위대한 철도를 건설하기 위해 몇 명의 소박한 농부들을 내쫓지 못하는지 알게 된 것은 내 기쁨이 아니다!"
"아니! 내가 이사실을 떠나 이 지긋지긋한 흙덩이에 와서 왜 성스러운 모든 것의 이름으로, 이 나라에서 본 가장 위대한 철도를 건설하기 위해 몇 명의 소박한 농부들을 내쫓지 못하는지 알게 된 것은 내 기쁨이 아니다!","당신의 괴로움을 완전히 이해할 수 있습니다, 선생님."
"파커, 내가 보스턴과 창녀와 시가로 가능한 한 빨리 돌아갈 수 있도록 무슨 일이 일어나고 있는지 말해줘, 꼭 그런 순서가 아니라.","2주 전에, 우리는 군대로 하여금 지역 농부들 중 한 명을 교수형에 처하게 할 수 있었다."
"2주 전에, 우리는 군대로 하여금 지역 농부들 중 한 명을 교수형에 처하게 할 수 있었다.",좋아
좋아,"유감스럽게도 아닙니다, 선생님. 한 무리의 지역 폭력배들이 교수대에서 그를 가까스로 구해냈다. 이것은 다른 농부들의 저항을 불러일으켰을 뿐만 아니라, 이중의 앨런 핑커튼 씨는 이 사건 동안 심각한 부상을 입었다."
"유감스럽게도 아닙니다, 선생님. 한 무리의 지역 폭력배들이 교수대에서 그를 가까스로 구해냈다. 이것은 다른 농부들의 저항을 불러일으켰을 뿐만 아니라, 이중의 앨런 핑커튼 씨는 이 사건 동안 심각한 부상을 입었다.",그가 회복될 때까지 자네를 작전 책임자로 남겨두는 거야
그가 회복될 때까지 자네를 작전 책임자로 남겨두는 거야,네.
네.,완벽해.
완벽해.,또 다른 장애물은 육군 수비대에게 리버티에서 이동하라는 명령을 받았다는 것이다. 우리는 더 이상 농부들을 위협할 특별한 끈을 갖지 않을 것이다.
또 다른 장애물은 육군 수비대에게 리버티에서 이동하라는 명령을 받았다는 것이다. 우리는 더 이상 농부들을 위협할 특별한 끈을 갖지 않을 것이다.,"육군이 떠나는 것을 보고 도구를 잃어버리는 것을 보게 된다. 나는 채워야 할 힘의 공백을 본다. 우리가 가장 많은 권력을 가지고 있기 때문에, 우리는 벌을 받지 않고 움직일 수도 있다."
"육군이 떠나는 것을 보고 도구를 잃어버리는 것을 보게 된다. 나는 채워야 할 힘의 공백을 본다. 우리가 가장 많은 권력을 가지고 있기 때문에, 우리는 벌을 받지 않고 움직일 수도 있다.",그렇구나. 오늘 밤 우리 형사 4명을 모아서 출동시키겠다.
그렇구나. 오늘 밤 우리 형사 4명을 모아서 출동시키겠다.,나는 이 포두꾼들이 진보의 의에 도전할 때 어떤 일이 일어나는지 가르쳐 주겠다.
"그들은 핑커튼 경비대와 총격전을 벌였고, 그들 중 몇 명을 죽였다. 그리고 나서 그들은 급료 사무실을 급습하여 반 마일이나 궤도를 날렸다.",금고에서 얼마나 받았어?
금고에서 얼마나 받았어?,"3만 5천입니다, 손님. 동전과 화폐. 그리고 수 마일에 걸친 파괴된 선로로부터의 지연은--"
"3만 5천입니다, 손님. 동전과 화폐. 그리고 수 마일에 걸친 파괴된 선로로부터의 지연은--",내 철도를 폭파한 죄로 죽여버릴 거야!
내 철도를 폭파한 죄로 죽여버릴 거야!,정확히 말하면 그들은 선로를 폭파하지 않았다.
정확히 말하면 그들은 선로를 폭파하지 않았다.,그럼 누가 그랬지?!
그럼 누가 그랬지?!,우리가 먹었어요.
자네 부하들은 위험을 알고 있었어,이게 무슨 일이야?
내 돈으로!,"그 학교를 완전히 불태워야 합니다, 선생님!"
철도의 최종 노선이 완성되었다.,잘 부탁해.
파커,손님?
손님?,저게 뭐지?
저게 뭐지?,"네, 선생님?"
저것,"오, 그거. 젠킨스가 설명하게 해줄게"
이 사람이 그 사람이다.,나는 너를 기억한다.
어떻게 알았어?,"이제 그런 위협은 아니겠지, 핑커튼?"
"이것 좀 봐, 핑커튼! 그들은 급료를 받았으며, 이번 손해는 적어도 두 달은 공사를 지연시킬 것이다.",목숨을 잃은 내 부하들은 말할 것도 없다.
안 그랬을 거야?,"아니, 내가 그랬을 거야. 하지만 내가 그들을 죽였는지도 확실히 했을 거야."
"아니, 내가 그랬을 거야. 하지만 내가 그들을 죽였는지도 확실히 했을 거야.",체포해서 교수형에 처하게 해!
체포해서 교수형에 처하게 해!,"이 근처 배심원단이 유죄 판결을 내릴까? 아닌 것 같아. 재미있는 게임을 시작하겠습니다, 레인스 씨"
"이 근처 배심원단이 유죄 판결을 내릴까? 아닌 것 같아. 재미있는 게임을 시작하겠습니다, 레인스 씨",이건 장난이 아니다
이건 장난이 아니다,우리의 적들은 동의하지 않는 것 같다.
""" 이틀 전 세인트 바로 외곽에 록 아일랜드와 퍼시픽 철도 창고가 털렸다. 미주리 주, 루이스. 용감하고 대담한 제임스 야운거 강씨는 핑커튼 형사들에게 크게 수적으로 우세했지만, 도시의 법률가들은 서방의 총포에는 상대가 되지 못하였소.""",그것은 멋진 글이다.
그것은 멋진 글이다.,"""그 패거리들은 3만 5천 달러를 가지고 도망쳤고 탁스턴 스위치 공사도 파괴했는데, 이는 몇 달 동안 정직한 농부들이 철도가 자기 땅을 훔치러 오는 것을 두려워하지 않고 잠을 잘 수 있게 된다는 것을 의미한다!"" 누가 쓴 거야? 한 달 동안 매주 화요일에 교수형 당하는 걸 보게 될 거야!"
"""그 패거리들은 3만 5천 달러를 가지고 도망쳤고 탁스턴 스위치 공사도 파괴했는데, 이는 몇 달 동안 정직한 농부들이 철도가 자기 땅을 훔치러 오는 것을 두려워하지 않고 잠을 잘 수 있게 된다는 것을 의미한다!"" 누가 쓴 거야? 한 달 동안 매주 화요일에 교수형 당하는 걸 보게 될 거야!","오, 그게 제일 좋은 부분이야."
"아직 경기 초반입니다, 레인스 씨. 제시 제임스와 나는 서로의 패턴을 느끼면서 서로의 움직임을 배우고 있어.",네가 이 농부들과 체스를 두는 동안 난 수백만 달러와 수개월의 시간을 잃고 있어!
네가 이 농부들과 체스를 두는 동안 난 수백만 달러와 수개월의 시간을 잃고 있어!,"농부들은 거의 없다. 나는 몇 가지 검사를 해 보았다. 이 모든 것들이 전쟁에 있었다. 이 남자들은 사보타주, 전술을 알고 있으며, 배후에는 4년간의 피비린내 나는 전투 경험이 있다. 그들은 단련되고, 잘 훈련되고, 카리스마 있는 지도자를 가지고 있다. 만약 내가 완벽한 무법자 밴드를 디자인한다면, 이 갱단은 내가 창조할 것이다."
"농부들은 거의 없다. 나는 몇 가지 검사를 해 보았다. 이 모든 것들이 전쟁에 있었다. 이 남자들은 사보타주, 전술을 알고 있으며, 배후에는 4년간의 피비린내 나는 전투 경험이 있다. 그들은 단련되고, 잘 훈련되고, 카리스마 있는 지도자를 가지고 있다. 만약 내가 완벽한 무법자 밴드를 디자인한다면, 이 갱단은 내가 창조할 것이다.",그래서 나한테 아무 말도 할 수 없는 거야?
그래서 나한테 아무 말도 할 수 없는 거야?,긴 겨울이 될 거야.
핑커튼. 8개월 만이야. 도둑이 보인다. 대기하고 있는게 보이네. 그러나 나는 결말이 난 사람은 보지 않는다.,제임스 강이 만난 모든 것은 솔직히 말해서 이 집단의 교활함에 상대가 되지 않는 현지 사법 당국과 함께 있었다.
"우선 너, 입 다물어. 자, 천 마일의 철도를 내게 주었소. 제임스 강이 공격할 때마다 우리는 100명의 형사를 그 지역으로 이동시킨다. 하지만 너무 많은 개방된 땅, 타기엔 강바닥, 숨기기엔 동굴이 너무 많아 이 갱단은 4개 주에 걸쳐 운영되며, 종종 직업 사이를 100마일이나 오간다.",믿을 수가 없어.
믿을 수가 없어.,그리고 미주리에는 제임스와 그의 부하들이 영웅으로 공공연히 걸을 수 있는 몇몇 마을들이 있다.
"그래, 그게 지역 주민들을 다시 우리 편으로 끌어들이기 위한 방법이야.",나는 행동을 요구한다.
나는 행동을 요구한다.,"아니, 너는 결과를 요구해. 그들은 같은 것이 아니다. 그리고 만약 당신이 결과를 원한다면, 당신은 내가 적합하다고 생각하는 대로 내 일을 하게 할 것이다. 물론이지 않는 한, 이 바보가 안장을 얹고 다시 한 번 도전해 보길 원하는 거야?"
"아니, 너는 결과를 요구해. 그들은 같은 것이 아니다. 그리고 만약 당신이 결과를 원한다면, 당신은 내가 적합하다고 생각하는 대로 내 일을 하게 할 것이다. 물론이지 않는 한, 이 바보가 안장을 얹고 다시 한 번 도전해 보길 원하는 거야?",아무 것도 말해줄 수 없어?
아무 것도 말해줄 수 없어?,긴 봄이 될 거야.
그래서 그는 이겼다.,아뇨
"3개월마다, 제임스 강은 미주리주 리버티 근처로 돌아간다. 그들은 항상 그들이 돌아오기 바로 전에 직장을 잡는데, 아마도 가족과 친구들에게 줄 여분의 돈이 있을 것이다.","영어로, 핑커튼."
"영어로, 핑커튼.",그 여행 반경 내에 그들이 털지 않은 은행은 4개뿐이다.
그 여행 반경 내에 그들이 털지 않은 은행은 4개뿐이다.,4명 다 넣을 수 있어?
4명 다 넣을 수 있어?,줄 필요가 없어. 나는 한 은행으로 범위를 좁힐 수 있는 다른 도구를 가지고 있다.
줄 필요가 없어. 나는 한 은행으로 범위를 좁힐 수 있는 다른 도구를 가지고 있다.,저게 뭐지?
저게 뭐지?,"왜, 당연히 당신에 대한 그들의 강렬한 증오심이지"
대체 무슨 소리야?,복수
"이봐, 오늘 밤에 뭐 할 거야?","뭐? 오, 나..바쁘다."
"뭐? 오, 나..바쁘다.","들어봐, 너 루이스랑 사귀잖아. 그는 애리조나에 있어. 넌 날 엿먹이고, 우린 아직 계획을 세우지 않았어. 오늘 밤에 뭐 할 수 있어?"
"들어봐, 너 루이스랑 사귀잖아. 그는 애리조나에 있어. 넌 날 엿먹이고, 우린 아직 계획을 세우지 않았어. 오늘 밤에 뭐 할 수 있어?",하지마 난...
하지마 난...,리튬이 많이 들어간다고?
리튬이 많이 들어간다고?,"루이스가 나한테 전화하기를 기다리고 있어. 그는 오늘 밤에 전화하겠다고 말했다. 오, 어렵지 마, 패트릭."
"루이스가 나한테 전화하기를 기다리고 있어. 그는 오늘 밤에 전화하겠다고 말했다. 오, 어렵지 마, 패트릭.","나랑 같이 저녁 먹으러 와. 코트니, 언제?"
"나랑 같이 저녁 먹으러 와. 코트니, 언제?",내가 헷갈린건가? 아니면 오늘 밤에 얘기했던건가?
내가 헷갈린건가? 아니면 오늘 밤에 얘기했던건가?,음... 그래. 루이스가 오늘밤에 나한테 전화할거야. 난 집에 있어야 해
음... 그래. 루이스가 오늘밤에 나한테 전화할거야. 난 집에 있어야 해,호박?
호박?,네?
네?,호박은 개자식하고 사귀는 거야
호박은 개자식하고 사귀는 거야,응.
응.,뉴욕에서 가장 큰 얼간이와 사귀는 호박.
뉴욕에서 가장 큰 얼간이와 사귀는 호박.,"알아, 그만해"
"알아, 그만해","호박, 넌 텀블링하고 텀블링하는 얼간이랑 사귀고 있잖아"
"호박, 넌 텀블링하고 텀블링하는 얼간이랑 사귀고 있잖아","패트릭, 더 이상 날 호박이라고 부르지 마, 알았지? 난 가야 해."
"패트릭, 더 이상 날 호박이라고 부르지 마, 알았지? 난 가야 해.",코트니? 저녁?
코트니? 저녁?,못해요
못해요,도르시아라고 생각해
도르시아라고 생각해,도르시아는 착해.
도르시아는 착해.,멋지다고?
멋지다고?,거기가 마음에 드시죠?
거기가 마음에 드시죠?,"문제는 맘에 들어, 코트니? 그리고 오늘 밤 남자친구가 그곳에서 밥을 먹도록 너의 슬픈 핑계로부터 빌어먹을 전화 한 통을 끊어줄래?"
"문제는 맘에 들어, 코트니? 그리고 오늘 밤 남자친구가 그곳에서 밥을 먹도록 너의 슬픈 핑계로부터 빌어먹을 전화 한 통을 끊어줄래?","그래, 그래 몇시요?"
"그래, 그래 몇시요?",8개?
8개?,날 데리러 와?
날 데리러 와?,"그래야 할 것 같군. 잠들지 마, 알았지? 멋진 옷을 입어라. 도르시아, 기억나?"
"정말 편안하던 엘리자베스 아덴의 얼굴, 그리고 내가 이 은색 머핀 요리를 산 도예 밤으로.",저거 도널드 트럼프 차야?
저거 도널드 트럼프 차야?,"맙소사, 패트릭. 닥쳐."
"맙소사, 패트릭. 닥쳐.","코트니, 리튬 좀 더 먹어 아니면 다이어트 콜라를 드시던가. 카페인이 좀 있으면 슬럼프에서 벗어날 수 있을 거야."
"코트니, 리튬 좀 더 먹어 아니면 다이어트 콜라를 드시던가. 카페인이 좀 있으면 슬럼프에서 벗어날 수 있을 거야.",난 그저 아이를 갖고 싶을 뿐이야. 그냥... 두 개... 완벽해...아이들...
J&B. 스트레이트.,"샴페인이 돌 위에 있어. 오, 그거 반전으로 할 수 있을까? 그녀는 의자에 다시 주저앉기 시작하고 베이트만은 몸을 기대어 등을 위로 당긴다."
"샴페인이 돌 위에 있어. 오, 그거 반전으로 할 수 있을까? 그녀는 의자에 다시 주저앉기 시작하고 베이트만은 몸을 기대어 등을 위로 당긴다.",우리가 여기 있는 거야?
우리가 여기 있는 거야?,네
네,도르시아라고?
도르시아라고?,"예, 맞아요 여보."
"코트니, 훈제 오리와 으깬 스쿼시를 곁들인 땅콩버터 수프를 먹게 될 거야. 뉴욕 잡지는 그것을 '놀지만 신비로운 작은 요리'라고 불렀다. 좋아하게 될 거야. 그리고 나서...제비꽃과 잣을 곁들인 붉은 도미 내 생각엔 그게 잘 어울릴 것 같아.","음... 고마워, 패트릭"
루이스는 비열한 트윗이다.,"그래, 루이스는 비열한 트윗이야. 나는 그가 싫다."
"아니, 이 바보야. 나는 ""수용 팁인가?""라고 말했다. 나는 그 일이 일어났을 때, 그 일이 일어났을 때, 나는 매우 기뻤다. 수용용 팁인가? 나한테서 떨어져.",그게 뭔데?
그게 뭔데?,끌어내다
끌어내다,난 널 무시하고 있어.
난 널 무시하고 있어.,"빼, 빌어먹을!"
"빼, 빌어먹을!","원하는 게 뭐야, 코트니?"
평이한 종말이다. 나는 생각한다.,불을 켜라.
"오, 주여 난 집에 갈 거야.",패트릭 불을 켜십시오. 그는 불을 켠다.
패트릭 불을 켜십시오. 그는 불을 켠다.,"평범한 종말이야, 알지? 그래서?"
"평범한 종말이야, 알지? 그래서?",벗으시오.
벗으시오.,왜?
왜?,왜냐하면 반인치의 끝부분을 남겨두어야만 자루의 힘을 잡을 수 있기 때문이다! 배트맨 난 여기서 나갈 거야 리튬은 어딨어?
"세상에, 이건 정말 그럴 가치가 없어. 봐, 코트니, 뭐 때문에 있는 거야? 말해줘. 왜 반 인치 아래로 당겨지는가? 그래서 조루탄의 힘을 잡을 수 있다!","글쎄, 그건 나한테는 턴 온 게 아니야. 나는 승진할 예정이다. 나는 에이즈에 걸리고 싶지 않다."
"봤지? 행복해? 이 멍청한 년아? 행복하니, 이 멍청한 년아?","맙소사, 그냥 끝내버려."
추수감사절 전에 전화해 줄래?,그럴지도 모르지
오늘 밤에 뭐 할 거야?,"리버 카페에서 저녁식사. 나중에 오바(Au Bar), 아마도."
"리버 카페에서 저녁식사. 나중에 오바(Au Bar), 아마도.",좋네.
좋네.,당신과...루이스?
당신과...루이스?,"우린 타드와 마우라의 집에서 저녁을 먹기로 되어 있었는데, 루이스가 어떤지 알잖아..."
"우린 타드와 마우라의 집에서 저녁을 먹기로 되어 있었는데, 루이스가 어떤지 알잖아...",네가 담배를 피우는 줄은 몰랐어.
네가 담배를 피우는 줄은 몰랐어.,눈치채지 못하셨군요.
들어봐...패트릭 얘기 좀 할까?,너 정말 멋져 보인다. 할 말이 없다. 루이스와 결혼하게 될 거야 다음 주에도 마찬가지야.
너 정말 멋져 보인다. 할 말이 없다. 루이스와 결혼하게 될 거야 다음 주에도 마찬가지야.,특별하지 않아? 패트릭?
특별하지 않아? 패트릭?,"네, 코트니?"
패트릭?,네?
네?,아무것도 아니야.
이 근처에서 널 본 적이 없어.,그냥 안 보고 있었잖아.
그냥 안 보고 있었잖아.,제 아파트 보시겠습니까?
"내 아파트로 올래, 말래?",난 그러면 안 돼. 하지만 나는 예외를 둘 수 있다.
난 그러면 안 돼. 하지만 나는 예외를 둘 수 있다.,아메리칸 익스프레스를 타십니까?
여기 정말 좋은 곳이구나...폴. 얼마 주고 샀어?,"사실, 그건 네가 상관할 일이 아니야 크리스티, 오두막은 확실히 싸지 않았다고 장담할 수 있어."
난 이것에 확신이 서지 않는다. 저번에도 응급실에 갔었는데...,"지난번과 같은 일은 없을 거야, 약속할게."
"지난번과 같은 일은 없을 거야, 약속할게.",난 그렇게 생각하지 않아.
"지난번과 같은 건 없어, 약속해.",그러시죠.
"그래, 정말 좋아 보이는데, 어떻게 지냈어?","음, 사실 지난 번 이후로 작은 수술이 필요할지도 몰라."
"음, 사실 지난 번 이후로 작은 수술이 필요할지도 몰라.",정말?
정말?,내 친구가 나에게 변호사를 선임해야 할지도 모른다고 말했다.
내 친구가 나에게 변호사를 선임해야 할지도 모른다고 말했다.,"오, 변호사들은 너무 복잡해. re"
여기가 네 다른 아파트보다 더 좋구나.,별로 좋지 않다.
"마르지판. 분홍색 텐트. 수백, 수천 송이의 장미. 사진작가. 애니 레이보비츠 애니 레이보비츠를 데려올게 비디오테이프를 찍을 사람을 고용할 거야 패트릭, 우리가 해야 해.",뭐.. 뭐.
뭐.. 뭐.,결혼하다. 결혼식을 올리다.
결혼하다. 결혼식을 올리다.,에블린?
에블린?,"네, 여보?"
"네, 여보?",에비앙이 약에 취했나?
에비앙이 약에 취했나?,우리는 그것을 해야 한다.
우리는 그것을 해야 한다.,"아니, 난 일을 쉴 수가 없어."
"아니, 난 일을 쉴 수가 없어.","네 아버지가 사실상 회사를 소유하고 계셔 네가 좋아하는 건 뭐든지 할 수 있어, 바보야."
"네 아버지가 사실상 회사를 소유하고 계셔 네가 좋아하는 건 뭐든지 할 수 있어, 바보야.",그것에 대해 이야기하고 싶지 않아요.
그것에 대해 이야기하고 싶지 않아요.,어쨌든 그 일을 싫어하는구나 그만두는 게 어때? 일하지 않아도 된다.
